GPT,rename_png_file_to,recommended_live_webp_copy,html_src_png,alt_text,url
Kronatrix Marketing GPT ™,kronatrix-marketing-gpt-ai-marketing-system-logo.png,kronatrix-marketing-gpt-ai-marketing-system-logo.webp,assets/gpt-logos/kronatrix-marketing-gpt-ai-marketing-system-logo.png,Kronatrix Marketing GPT ™ logo by KRONATRIX for AI marketing and online presence,https://chatgpt.com/g/g-692fdce01c0c8191839ae3c1bbf05e12-kronatrix-marketing
PROOF IS KING AI BOOK,proof-is-king-ai-book-cornelius-aurelius-kronatrix-gpt.png,proof-is-king-ai-book-cornelius-aurelius-kronatrix-gpt.webp,assets/gpt-logos/proof-is-king-ai-book-cornelius-aurelius-kronatrix-gpt.png,PROOF IS KING AI BOOK logo by KRONATRIX for AI marketing and online presence,https://drive.google.com/drive/u/0/folders/1w98mT7Z9UUGtO1Sl9OKie81ywRKsarFg
Personal Trainer Marketing by KRONATRIX™,personal-trainer-marketing-gpt-kronatrix-ai-marketing-logo.png,personal-trainer-marketing-gpt-kronatrix-ai-marketing-logo.webp,assets/gpt-logos/personal-trainer-marketing-gpt-kronatrix-ai-marketing-logo.png,Personal Trainer Marketing by KRONATRIX™ logo by KRONATRIX for AI marketing and online presence,https://chatgpt.com/g/g-6933d8d91f848191b0c2d73bd4e7ce17-personal-trainer-marketing-by-kronatrixtm
Real Estate Marketing by KRONATRIX™,real-estate-marketing-gpt-kronatrix-ai-marketing-logo.png,real-estate-marketing-gpt-kronatrix-ai-marketing-logo.webp,assets/gpt-logos/real-estate-marketing-gpt-kronatrix-ai-marketing-logo.png,Real Estate Marketing by KRONATRIX™ logo by KRONATRIX for AI marketing and online presence,https://chatgpt.com/g/g-6933d9e0279c81918eea8121297c3ee7-real-estate-marketing-by-kronatrixtm
Real Estate Photographer Marketing by KRONATRIX™,real-estate-photographer-marketing-gpt-kronatrix-ai-marketing-logo.png,real-estate-photographer-marketing-gpt-kronatrix-ai-marketing-logo.webp,assets/gpt-logos/real-estate-photographer-marketing-gpt-kronatrix-ai-marketing-logo.png,Real Estate Photographer Marketing by KRONATRIX™ logo by KRONATRIX for AI marketing and online presence,https://chatgpt.com/g/g-69344231cf248191a6f63e23fc71e340-real-estate-photographer-marketing-by-kronatrixtm
Landlord & Property Management Marketing by KRONATRIX™,landlord-property-management-marketing-gpt-kronatrix-logo.png,landlord-property-management-marketing-gpt-kronatrix-logo.webp,assets/gpt-logos/landlord-property-management-marketing-gpt-kronatrix-logo.png,Landlord & Property Management Marketing by KRONATRIX™ logo by KRONATRIX for AI marketing and online presence,https://chatgpt.com/g/g-6934429f7740819185aecbee82d53d78-landlord-property-management-marketing-kronatrix
Dog Groomer Marketing by KRONATRIX™,dog-groomer-marketing-gpt-kronatrix-ai-marketing-logo.png,dog-groomer-marketing-gpt-kronatrix-ai-marketing-logo.webp,assets/gpt-logos/dog-groomer-marketing-gpt-kronatrix-ai-marketing-logo.png,Dog Groomer Marketing by KRONATRIX™ logo by KRONATRIX for AI marketing and online presence,https://chatgpt.com/g/g-6934421c9b0481919be621a7b0d07dd1-dog-groomer-marketing-by-kronatrixtm
Mobile Car Valeting Marketing by KRONATRIX™,mobile-car-valeting-marketing-gpt-kronatrix-logo.png,mobile-car-valeting-marketing-gpt-kronatrix-logo.webp,assets/gpt-logos/mobile-car-valeting-marketing-gpt-kronatrix-logo.png,Mobile Car Valeting Marketing by KRONATRIX™ logo by KRONATRIX for AI marketing and online presence,https://chatgpt.com/g/g-69344290821081919c5300689e7da862-mobile-car-valeting-marketing-by-kronatrixtm
Roof Cleaning & Pressure Washing Marketing by KRONATRIX™,roof-cleaning-pressure-washing-marketing-gpt-kronatrix-logo.png,roof-cleaning-pressure-washing-marketing-gpt-kronatrix-logo.webp,assets/gpt-logos/roof-cleaning-pressure-washing-marketing-gpt-kronatrix-logo.png,Roof Cleaning & Pressure Washing Marketing by KRONATRIX™ logo by KRONATRIX for AI marketing and online presence,https://chatgpt.com/g/g-6934424fc1b881918ddb8db9c8a887b4-roof-cleaning-pressure-washing-marketing-kronatrix
Car Mechanic & Garage Marketing by KRONATRIX™,car-mechanic-garage-marketing-gpt-kronatrix-logo.png,car-mechanic-garage-marketing-gpt-kronatrix-logo.webp,assets/gpt-logos/car-mechanic-garage-marketing-gpt-kronatrix-logo.png,Car Mechanic & Garage Marketing by KRONATRIX™ logo by KRONATRIX for AI marketing and online presence,https://chatgpt.com/g/g-6934420f90648191813bc8323ddf7b6d-car-mechanic-garage-marketing-by-kronatrixtm
